model_name,experiment,episode_id,scene,evaluation_mode,sensor_profile,comparison_track,camera_horizontal_fov_degrees,model_inputs,model_runtime,derived_inputs,model_internal_3d_perception,external_local_avoidance,uses_shared_path_follower,uses_shared_velocity_filter,instruction,seed,pedestrian_count,official_pedestrian_count,effective_pedestrian_count,success,navigation_error,spl,path_length,duration,physical_collision_count,pedestrian_collision_count,collision_rate,stuck_count,recovery_count,mean_inference_latency,p50_inference_latency,p95_inference_latency,max_inference_latency,mean_vlm_latency,mean_action_expert_latency,mean_control_frequency,minimum_control_frequency,direct_velocity
ticvla,dynanav_full85_noped_fixed,dynanav_021,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Exit the room and turn right to enter the hallway. Continue straight ahead and to the end of the hallway.,666,0,0,0,False,21.577122699,0.0,52.83307176094492,78.5,152,0,1.9363057324840764,0,0,1.1568086445331573,1.159344494342804,1.1926791369915009,1.2095991373062134,1.1558455377817154,0.0009631121670520914,20.0093097768969,18.580175801641083,False
ticvla,dynanav_full85_noped_fixed,dynanav_022,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Exit the room and turn right to enter the hallway. Continue straight ahead and to the end of the hallway.,666,0,10,0,True,1.485269261,0.8588859837151943,29.2364104916113,31.740000000000002,32,0,1.0081915563957151,0,0,1.1625749869424788,1.1610051393508911,1.2068067789077759,1.242492914199829,1.1616108476138505,0.0009641307616056722,20.030455093554338,19.60142539638748,False
ticvla,dynanav_full85_noped_fixed,dynanav_023,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Exit the room and turn right to enter the hallway. Continue straight ahead and to the end of the hallway.,666,0,20,0,True,1.487673499,0.8487622822255134,29.585090646993635,32.4,54,0,1.6666666666666667,0,0,1.1589467967710188,1.1573227047920227,1.210886549949646,1.2156257629394531,1.1579845912994877,0.0009621990348903402,20.03305801536043,19.542609126310975,False
ticvla,dynanav_full85_noped_fixed,dynanav_024,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Exit the room and turn right to enter the hallway. Continue straight ahead and to the end of the hallway.,666,0,30,0,True,1.506733799,0.8474881347242268,29.62957005358199,33.239999999,30,0,0.9025270758394263,0,0,1.156807547523862,1.1591135263442993,1.1973956942558288,1.2100130319595337,1.1558557502807132,0.0009517999816804179,20.022539841073925,19.089518529808934,False
ticvla,dynanav_full85_noped_fixed,dynanav_025,hospital,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Exit the room and turn right to enter the hallway. Continue straight ahead and to the end of the hallway.,666,0,40,0,True,1.490634928,0.4713659568147084,53.272144425256386,65.42,127,0,1.9413023540201773,0,0,1.1619200509364211,1.1627975702285767,1.2006482243537904,1.232232689857483,1.1609797665453332,0.0009402750870286245,20.0166548636513,18.711246794846843,False
ticvla,dynanav_full85_noped_fixed,dynanav_026,office,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,0,0,False,10.372035976,0.0,24.799286248841682,33.56,93,0,2.771156138259833,0,0,1.1627614371704333,1.1656193733215332,1.2018686532974243,1.2171237468719482,1.1617345159704036,0.0010269169843840327,20.022397121991503,19.01112563224453,False
ticvla,dynanav_full85_noped_fixed,dynanav_027,office,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,10,0,False,30.222213686,0.0,35.88808047916615,40.38,2,0,0.04952947003467063,0,0,1.1573548181147515,1.1589598655700684,1.2034509658813477,1.2381120920181274,1.1563947744007352,0.0009600440234747491,20.021741021934183,19.322385182026398,False
ticvla,dynanav_full85_noped_fixed,dynanav_028,office,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,20,0,False,11.100896839,0.0,23.938470007078866,47.46,16,0,0.337126000842815,3,2,1.1559866564248198,1.156019687652588,1.1999219179153442,1.2250323295593262,1.154985943148213,0.001000709720306419,20.01881485850362,19.075169011670106,False
ticvla,dynanav_full85_noped_fixed,dynanav_029,office,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,30,0,False,9.990656786,0.0,24.80527019631872,53.63999999999999,77,0,1.4354958985831472,3,3,1.1590646437878878,1.1591378450393677,1.1971921622753143,1.238053798675537,1.158113586452772,0.000951057239567404,20.01257127717223,19.000546547473096,False
ticvla,dynanav_full85_noped_fixed,dynanav_030,office,trajectory_normalized,rgb_only,rgb_only,120.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,40,0,False,14.773054036,0.0,48.278942976245396,59.720000000000006,74,0,1.2391158740790353,0,0,1.1695728291984366,1.1694653034210205,1.2351113200187682,1.2531862258911133,1.168576421857882,0.0009964065452129777,20.011561469866166,18.703738877129492,False
